rank,pc_number,pc_index,coefficient,abs_coefficient
209,276,275,0.11384093761444092,0.11384093761444092
210,21,20,-0.11383341252803802,0.11383341252803802
211,392,391,0.11328872293233871,0.11328872293233871
212,172,171,-0.11315968632698059,0.11315968632698059
213,483,482,0.11307445913553238,0.11307445913553238
214,327,326,-0.11272313445806503,0.11272313445806503
215,284,283,0.11222779005765915,0.11222779005765915
216,217,216,0.11172842979431152,0.11172842979431152
217,197,196,0.11141830682754517,0.11141830682754517
218,144,143,0.10958521068096161,0.10958521068096161
219,271,270,0.10849396884441376,0.10849396884441376
220,448,447,-0.1080871969461441,0.1080871969461441
221,492,491,-0.10734391212463379,0.10734391212463379
222,248,247,0.10698751360177994,0.10698751360177994
223,287,286,0.10442999750375748,0.10442999750375748
224,275,274,-0.10435009747743607,0.10435009747743607
225,16,15,0.1041569858789444,0.1041569858789444
226,112,111,0.10394236445426941,0.10394236445426941
227,126,125,-0.10367283225059509,0.10367283225059509
228,227,226,0.10228738188743591,0.10228738188743591
229,403,402,-0.10215356200933456,0.10215356200933456
230,270,269,-0.10196307301521301,0.10196307301521301
231,411,410,-0.10174757242202759,0.10174757242202759
232,465,464,0.10171187669038773,0.10171187669038773
233,304,303,0.10157417505979538,0.10157417505979538
234,182,181,0.10134343057870865,0.10134343057870865
235,188,187,-0.10074295848608017,0.10074295848608017
236,438,437,-0.0987587496638298,0.0987587496638298
237,252,251,-0.09862912446260452,0.09862912446260452
238,14,13,-0.0985787957906723,0.0985787957906723
239,462,461,-0.09770193696022034,0.09770193696022034
240,113,112,0.09707329422235489,0.09707329422235489
241,412,411,0.09671355783939362,0.09671355783939362
242,402,401,0.09648340940475464,0.09648340940475464
243,500,499,-0.09624030441045761,0.09624030441045761
244,427,426,0.09623084962368011,0.09623084962368011
245,344,343,0.09621968120336533,0.09621968120336533
246,488,487,-0.09530892223119736,0.09530892223119736
247,280,279,0.09497587382793427,0.09497587382793427
248,512,511,-0.09483008086681366,0.09483008086681366
249,308,307,-0.09435493499040604,0.09435493499040604
250,297,296,0.0942620113492012,0.0942620113492012
251,196,195,0.09364039450883865,0.09364039450883865
252,466,465,-0.09311295300722122,0.09311295300722122
253,309,308,0.09298065304756165,0.09298065304756165
254,209,208,-0.0919906497001648,0.0919906497001648
255,336,335,-0.09166674315929413,0.09166674315929413
256,356,355,-0.09157004207372665,0.09157004207372665
257,286,285,0.09082318097352982,0.09082318097352982
258,355,354,-0.08950160443782806,0.08950160443782806
259,282,281,0.08795192092657089,0.08795192092657089
260,467,466,0.08763518929481506,0.08763518929481506
261,493,492,0.0876002237200737,0.0876002237200737
262,272,271,0.08684423565864563,0.08684423565864563
263,267,266,0.08636888861656189,0.08636888861656189
264,372,371,-0.0863439217209816,0.0863439217209816
265,153,152,-0.08608686923980713,0.08608686923980713
266,393,392,0.08437857776880264,0.08437857776880264
267,397,396,0.08364278078079224,0.08364278078079224
268,127,126,0.08321405202150345,0.08321405202150345
269,360,359,0.0808248370885849,0.0808248370885849
270,72,71,0.07979893684387207,0.07979893684387207
271,186,185,-0.07977493852376938,0.07977493852376938
272,384,383,-0.07966818660497665,0.07966818660497665
273,339,338,-0.07947428524494171,0.07947428524494171
274,141,140,0.07917007058858871,0.07917007058858871
275,400,399,-0.07893513143062592,0.07893513143062592
276,422,421,0.0787423625588417,0.0787423625588417
277,83,82,-0.07853954285383224,0.07853954285383224
278,181,180,0.0784815326333046,0.0784815326333046
279,509,508,-0.07798846065998077,0.07798846065998077
280,481,480,0.07792927324771881,0.07792927324771881
281,85,84,-0.07672438025474548,0.07672438025474548
282,117,116,0.07642392814159393,0.07642392814159393
283,32,31,0.0757744088768959,0.0757744088768959
284,118,117,-0.07559297978878021,0.07559297978878021
285,407,406,-0.07534930855035782,0.07534930855035782
286,23,22,-0.07533691078424454,0.07533691078424454
287,456,455,-0.07497371733188629,0.07497371733188629
288,368,367,0.07469934225082397,0.07469934225082397
289,159,158,0.07445678859949112,0.07445678859949112
290,319,318,0.07442911714315414,0.07442911714315414
291,231,230,0.07339669018983841,0.07339669018983841
292,380,379,-0.07334519177675247,0.07334519177675247
293,359,358,0.07330931723117828,0.07330931723117828
294,405,404,0.07263040542602539,0.07263040542602539
295,353,352,0.07204191386699677,0.07204191386699677
296,213,212,-0.07195809483528137,0.07195809483528137
297,178,177,-0.07136783748865128,0.07136783748865128
298,484,483,0.0713568851351738,0.0713568851351738
299,279,278,-0.07109851390123367,0.07109851390123367
300,464,463,-0.07104349881410599,0.07104349881410599
301,450,449,-0.07047062367200851,0.07047062367200851
302,342,341,-0.07042307406663895,0.07042307406663895
303,454,453,0.06950212270021439,0.06950212270021439
304,273,272,0.06926390528678894,0.06926390528678894
305,223,222,-0.06883660703897476,0.06883660703897476
306,331,330,-0.06840085983276367,0.06840085983276367
307,247,246,-0.06784225255250931,0.06784225255250931
308,207,206,0.06753025949001312,0.06753025949001312
309,185,184,0.06708560883998871,0.06708560883998871
310,233,232,0.06647840142250061,0.06647840142250061
311,251,250,0.06624320149421692,0.06624320149421692
312,423,422,0.06621327251195908,0.06621327251195908
313,226,225,0.06607566773891449,0.06607566773891449
314,413,412,0.06603100150823593,0.06603100150823593
315,424,423,-0.06573239713907242,0.06573239713907242
316,8,7,-0.06540051847696304,0.06540051847696304
317,338,337,0.06507979333400726,0.06507979333400726
318,58,57,-0.06427070498466492,0.06427070498466492
319,206,205,0.06366940587759018,0.06366940587759018
320,199,198,-0.06293235719203949,0.06293235719203949
321,357,356,0.06276099383831024,0.06276099383831024
322,506,505,-0.0625871792435646,0.0625871792435646
323,173,172,-0.062171462923288345,0.062171462923288345
324,80,79,0.06186029314994812,0.06186029314994812
325,385,384,-0.0616774745285511,0.0616774745285511
326,214,213,0.06145713850855827,0.06145713850855827
327,408,407,0.061302509158849716,0.061302509158849716
328,420,419,-0.06089984253048897,0.06089984253048897
329,318,317,-0.06089853122830391,0.06089853122830391
330,74,73,0.06069101765751839,0.06069101765751839
331,300,299,0.06036270409822464,0.06036270409822464
332,496,495,-0.06033337116241455,0.06033337116241455
333,234,233,0.06024004891514778,0.06024004891514778
334,135,134,0.059757065027952194,0.059757065027952194
335,220,219,0.05870909243822098,0.05870909243822098
336,474,473,-0.05849769711494446,0.05849769711494446
337,376,375,0.057583924382925034,0.057583924382925034
338,94,93,0.05711822956800461,0.05711822956800461
339,221,220,-0.05658956989645958,0.05658956989645958
340,254,253,0.05630331486463547,0.05630331486463547
341,498,497,-0.055998656898736954,0.055998656898736954
342,212,211,-0.05431041121482849,0.05431041121482849
343,4,3,-0.05392242223024368,0.05392242223024368
344,167,166,0.05389101058244705,0.05389101058244705
345,362,361,0.05380241200327873,0.05380241200327873
346,169,168,-0.05336963012814522,0.05336963012814522
347,84,83,-0.0528927780687809,0.0528927780687809
348,123,122,0.05270051583647728,0.05270051583647728
349,224,223,-0.0522465705871582,0.0522465705871582
350,452,451,-0.05220998823642731,0.05220998823642731
351,161,160,0.05187344551086426,0.05187344551086426
352,48,47,-0.05165138840675354,0.05165138840675354
353,381,380,-0.051356542855501175,0.051356542855501175
354,204,203,-0.05132443085312843,0.05132443085312843
355,428,427,-0.050738897174596786,0.050738897174596786
356,505,504,-0.05002898350358009,0.05002898350358009
357,501,500,0.048931874334812164,0.048931874334812164
358,449,448,-0.0486380010843277,0.0486380010843277
359,245,244,0.04816146567463875,0.04816146567463875
360,195,194,-0.047371409833431244,0.047371409833431244
361,274,273,-0.04719308391213417,0.04719308391213417
362,262,261,0.047160517424345016,0.047160517424345016
363,222,221,0.04626624658703804,0.04626624658703804
364,320,319,0.04604175686836243,0.04604175686836243
365,54,53,0.04603980481624603,0.04603980481624603
366,404,403,-0.04529258608818054,0.04529258608818054
367,98,97,-0.04502743482589722,0.04502743482589722
368,444,443,-0.04493245109915733,0.04493245109915733
369,137,136,0.044911615550518036,0.044911615550518036
370,53,52,-0.0445004478096962,0.0445004478096962
371,315,314,0.044478889554739,0.044478889554739
372,343,342,-0.04408127814531326,0.04408127814531326
373,370,369,-0.04404168948531151,0.04404168948531151
374,434,433,-0.04399365186691284,0.04399365186691284
375,477,476,-0.043292336165905,0.043292336165905
376,324,323,-0.04282443970441818,0.04282443970441818
377,63,62,-0.04227959364652634,0.04227959364652634
378,399,398,0.04200184345245361,0.04200184345245361
379,268,267,0.04173366352915764,0.04173366352915764
380,358,357,-0.04163123667240143,0.04163123667240143
381,57,56,-0.041289735585451126,0.041289735585451126
382,440,439,0.04124664515256882,0.04124664515256882
383,288,287,-0.04122449457645416,0.04122449457645416
384,478,477,-0.04058981314301491,0.04058981314301491
385,114,113,-0.04000334441661835,0.04000334441661835
386,451,450,-0.039962247014045715,0.039962247014045715
387,47,46,-0.03984258696436882,0.03984258696436882
388,333,332,0.03958088904619217,0.03958088904619217
389,435,434,-0.038568396121263504,0.038568396121263504
390,264,263,-0.03832974657416344,0.03832974657416344
391,246,245,-0.037909235805273056,0.037909235805273056
392,285,284,-0.03740745037794113,0.03740745037794113
393,75,74,-0.03698684275150299,0.03698684275150299
394,387,386,0.03697418421506882,0.03697418421506882
395,243,242,-0.036963626742362976,0.036963626742362976
396,391,390,0.03688601404428482,0.03688601404428482
397,134,133,-0.036744359880685806,0.036744359880685806
398,432,431,0.03670009598135948,0.03670009598135948
399,459,458,-0.03650394827127457,0.03650394827127457
400,180,179,-0.036323435604572296,0.036323435604572296
401,330,329,0.03562913462519646,0.03562913462519646
402,88,87,-0.03551137447357178,0.03551137447357178
403,42,41,0.034941285848617554,0.034941285848617554
404,437,436,-0.03430003300309181,0.03430003300309181
405,482,481,-0.03428440913558006,0.03428440913558006
406,389,388,-0.03322253376245499,0.03322253376245499
407,430,429,0.03319476917386055,0.03319476917386055
408,416,415,0.03313779830932617,0.03313779830932617
409,347,346,0.03310256823897362,0.03310256823897362
410,325,324,0.03165963664650917,0.03165963664650917
411,136,135,0.03134731203317642,0.03134731203317642
412,157,156,-0.03091750480234623,0.03091750480234623
413,383,382,0.030202345922589302,0.030202345922589302
414,410,409,-0.030050605535507202,0.030050605535507202
415,442,441,-0.029964923858642578,0.029964923858642578
416,414,413,-0.02978765219449997,0.02978765219449997
417,165,164,-0.029313864186406136,0.029313864186406136
418,485,484,-0.029192382469773293,0.029192382469773293
419,277,276,0.029162848368287086,0.029162848368287086
420,394,393,-0.029059462249279022,0.029059462249279022
421,365,364,0.028607293963432312,0.028607293963432312
422,502,501,0.028325358405709267,0.028325358405709267
423,317,316,0.028308045119047165,0.028308045119047165
424,341,340,-0.027763085439801216,0.027763085439801216
425,311,310,0.02765939198434353,0.02765939198434353
426,25,24,0.027410535141825676,0.027410535141825676
427,81,80,-0.027270179241895676,0.027270179241895676
428,323,322,0.027131875976920128,0.027131875976920128
429,439,438,-0.026929279789328575,0.026929279789328575
430,5,4,0.02653353102505207,0.02653353102505207
431,149,148,-0.025810889899730682,0.025810889899730682
432,194,193,-0.02570999041199684,0.02570999041199684
433,119,118,-0.02565113455057144,0.02565113455057144
434,218,217,0.025390010327100754,0.025390010327100754
435,348,347,0.025226233527064323,0.025226233527064323
436,504,503,0.024611152708530426,0.024611152708530426
437,133,132,-0.024229684844613075,0.024229684844613075
438,301,300,-0.024043474346399307,0.024043474346399307
439,503,502,-0.023921813815832138,0.023921813815832138
440,480,479,0.023799536749720573,0.023799536749720573
441,388,387,0.023050328716635704,0.023050328716635704
442,289,288,0.02275276742875576,0.02275276742875576
443,302,301,-0.022312898188829422,0.022312898188829422
444,283,282,0.022209351882338524,0.022209351882338524
445,349,348,0.02181331254541874,0.02181331254541874
446,310,309,-0.02146199531853199,0.02146199531853199
447,494,493,0.02121242880821228,0.02121242880821228
448,171,170,-0.021163934841752052,0.021163934841752052
449,306,305,0.02088252827525139,0.02088252827525139
450,313,312,-0.020782947540283203,0.020782947540283203
451,386,385,-0.019800901412963867,0.019800901412963867
452,146,145,0.01969298906624317,0.01969298906624317
