file,time,class,n_valid_pixels,n_disagree_pixels,fraction_disagree_all_pixels,n_either_positive,n_both_positive,fraction_agreement_given_positive_union,fraction_disagreement_given_positive_union
2017-06-04T18:00:00.000000000.nc,2017-06-04T18:00:00.000000000,Atmospheric River (AR),1038240,48251,0.046473840345199566,82105,33854,0.41232568053102736,0.5876743194689726
2017-06-05T23:00:00.000000000.nc,2017-06-05T23:00:00.000000000,Atmospheric River (AR),1038240,45499,0.04382320080135614,65676,20177,0.3072202935623363,0.6927797064376637
2017-06-06T00:00:00.000000000.nc,2017-06-06T00:00:00.000000000,Atmospheric River (AR),1038240,30782,0.029648250886114964,69974,39192,0.5600937491068111,0.4399062508931889
2017-06-07T11:00:00.000000000.nc,2017-06-07T11:00:00.000000000,Atmospheric River (AR),1038240,51000,0.04912159038372631,94421,43421,0.4598659196577033,0.5401340803422967
2017-06-08T08:00:00.000000000.nc,2017-06-08T08:00:00.000000000,Atmospheric River (AR),1038240,44567,0.042925527816304515,91386,46819,0.5123213621342437,0.48767863786575627
2017-06-09T07:00:00.000000000.nc,2017-06-09T07:00:00.000000000,Atmospheric River (AR),1038240,47703,0.045946024040684236,85123,37420,0.43959916826239676,0.5604008317376032
2017-06-09T18:00:00.000000000.nc,2017-06-09T18:00:00.000000000,Atmospheric River (AR),1038240,45578,0.043899291108028975,87633,42055,0.47989912475893787,0.5201008752410622
2017-06-10T16:00:00.000000000.nc,2017-06-10T16:00:00.000000000,Atmospheric River (AR),1038240,41239,0.03972010325165665,74041,32802,0.44302481057792303,0.5569751894220769
2017-06-12T13:00:00.000000000.nc,2017-06-12T13:00:00.000000000,Atmospheric River (AR),1038240,46536,0.04482200647249191,82911,36375,0.4387234504468647,0.5612765495531353
2017-06-13T09:00:00.000000000.nc,2017-06-13T09:00:00.000000000,Atmospheric River (AR),1038240,35919,0.03459604715672677,61681,25762,0.41766508325092006,0.5823349167490799
2017-06-14T15:00:00.000000000.nc,2017-06-14T15:00:00.000000000,Atmospheric River (AR),1038240,47001,0.04526987979657882,84080,37079,0.4409966698382493,0.5590033301617507
2017-06-15T14:00:00.000000000.nc,2017-06-15T14:00:00.000000000,Atmospheric River (AR),1038240,47395,0.045649368161504084,85482,38087,0.4455557895229405,0.5544442104770595
2017-06-20T23:00:00.000000000.nc,2017-06-20T23:00:00.000000000,Atmospheric River (AR),1038240,26761,0.02577535059331176,43995,17234,0.3917263325377884,0.6082736674622116
2017-06-21T16:00:00.000000000.nc,2017-06-21T16:00:00.000000000,Atmospheric River (AR),1038240,18333,0.01765776699029126,30457,12124,0.39806940933118823,0.6019305906688117
2017-06-22T10:00:00.000000000.nc,2017-06-22T10:00:00.000000000,Atmospheric River (AR),1038240,68344,0.06582678378794883,116206,47862,0.4118720203776053,0.5881279796223947
2017-06-24T06:00:00.000000000.nc,2017-06-24T06:00:00.000000000,Atmospheric River (AR),1038240,22602,0.021769533055940822,47241,24639,0.5215596621578713,0.47844033784212864
2017-06-29T03:00:00.000000000.nc,2017-06-29T03:00:00.000000000,Atmospheric River (AR),1038240,38708,0.03728232393280937,73532,34824,0.47358972964151663,0.5264102703584834
2017-07-03T02:00:00.000000000.nc,2017-07-03T02:00:00.000000000,Atmospheric River (AR),1038240,67766,0.0652700724302666,117870,50104,0.42507847628743534,0.5749215237125647
2017-07-03T21:00:00.000000000.nc,2017-07-03T21:00:00.000000000,Atmospheric River (AR),1038240,52566,0.05062991215903837,97450,44884,0.4605849153412006,0.5394150846587994
2017-07-04T07:00:00.000000000.nc,2017-07-04T07:00:00.000000000,Atmospheric River (AR),1038240,73960,0.07123593774079211,104852,30892,0.29462480448632355,0.7053751955136764
2017-07-05T03:00:00.000000000.nc,2017-07-05T03:00:00.000000000,Atmospheric River (AR),1038240,42482,0.040917321621205115,66899,24417,0.36498303412607064,0.6350169658739293
2017-07-06T20:00:00.000000000.nc,2017-07-06T20:00:00.000000000,Atmospheric River (AR),1038240,76796,0.07396748343350285,120502,43706,0.36269937428424426,0.6373006257157557
2017-07-07T13:00:00.000000000.nc,2017-07-07T13:00:00.000000000,Atmospheric River (AR),1038240,51337,0.04944617814763446,94705,43368,0.45792724776938915,0.5420727522306108
2017-07-16T14:00:00.000000000.nc,2017-07-16T14:00:00.000000000,Atmospheric River (AR),1038240,57934,0.05580020033903529,91729,33795,0.3684222001766072,0.6315777998233928
2017-07-19T14:00:00.000000000.nc,2017-07-19T14:00:00.000000000,Atmospheric River (AR),1038240,67461,0.06497630605640314,109675,42214,0.38490084340095737,0.6150991565990426
2017-07-21T05:00:00.000000000.nc,2017-07-21T05:00:00.000000000,Atmospheric River (AR),1038240,53482,0.05151217444906765,86996,33514,0.3852361028093246,0.6147638971906755
2017-07-22T03:00:00.000000000.nc,2017-07-22T03:00:00.000000000,Atmospheric River (AR),1038240,22490,0.021661658190784406,52548,30058,0.5720103524396742,0.4279896475603258
2017-07-22T15:00:00.000000000.nc,2017-07-22T15:00:00.000000000,Atmospheric River (AR),1038240,46949,0.0452197950377562,87369,40420,0.4626354885600156,0.5373645114399844
2017-07-23T19:00:00.000000000.nc,2017-07-23T19:00:00.000000000,Atmospheric River (AR),1038240,64144,0.06178147634458314,101348,37204,0.3670916051624107,0.6329083948375893
2017-07-23T21:00:00.000000000.nc,2017-07-23T21:00:00.000000000,Atmospheric River (AR),1038240,50835,0.048962667591308365,85686,34851,0.40672922064281214,0.5932707793571879
2017-07-26T14:00:00.000000000.nc,2017-07-26T14:00:00.000000000,Atmospheric River (AR),1038240,38594,0.037172522730775155,62345,23751,0.38096078274119816,0.6190392172588018
2017-08-01T02:00:00.000000000.nc,2017-08-01T02:00:00.000000000,Atmospheric River (AR),1038240,67787,0.06529029896748344,89853,22066,0.24557888996472016,0.7544211100352799
2017-08-14T12:00:00.000000000.nc,2017-08-14T12:00:00.000000000,Atmospheric River (AR),1038240,69089,0.0665443442749268,112791,43702,0.3874599923752782,0.6125400076247218
2017-08-14T14:00:00.000000000.nc,2017-08-14T14:00:00.000000000,Atmospheric River (AR),1038240,67099,0.06462763908152258,86709,19610,0.22615876091293868,0.7738412390870614
2017-08-19T01:00:00.000000000.nc,2017-08-19T01:00:00.000000000,Atmospheric River (AR),1038240,77903,0.07503371089536139,106468,28565,0.2682965773753616,0.7317034226246384
2017-08-19T23:00:00.000000000.nc,2017-08-19T23:00:00.000000000,Atmospheric River (AR),1038240,59763,0.057561835413777164,85003,25240,0.2969306965636507,0.7030693034363493
2017-08-22T11:00:00.000000000.nc,2017-08-22T11:00:00.000000000,Atmospheric River (AR),1038240,52035,0.05011846971798428,79333,27298,0.3440938827474065,0.6559061172525935
2017-08-23T01:00:00.000000000.nc,2017-08-23T01:00:00.000000000,Atmospheric River (AR),1038240,66486,0.06403721682847896,127325,60839,0.47782446495189473,0.5221755350481052
2017-08-23T19:00:00.000000000.nc,2017-08-23T19:00:00.000000000,Atmospheric River (AR),1038240,51133,0.04924969178609955,131236,80103,0.6103736779542199,0.3896263220457801
2017-08-25T11:00:00.000000000.nc,2017-08-25T11:00:00.000000000,Atmospheric River (AR),1038240,61130,0.058878486669748806,119923,58793,0.4902562477589787,0.5097437522410213
2017-08-26T09:00:00.000000000.nc,2017-08-26T09:00:00.000000000,Atmospheric River (AR),1038240,48763,0.04696698258591463,105005,56242,0.5356125898766725,0.46438741012332746
