target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
u1000,25,1.0,0.632276177406311,3.697659865941146,0.7955100109902894,11184264,3697362,25
u1000,50,1.0,0.6722686290740967,3.4908013035468985,0.8201233634153089,11184264,3697362,50
u1000,100,1.0,0.7187728881835938,3.233662254933173,0.8479846380823127,11184264,3697362,100
u1000,200,1.0,0.7774902582168579,2.876342294232609,0.8820917324357135,11184264,3697362,200
u1000,400,1.0,0.8075801730155945,2.6747980023704794,0.8988023718520707,11184264,3697362,400
v50,5,1.0,0.000847935676574707,6.697523359633173,0.030413304234953514,11184264,3697362,5
v50,10,1.0,0.004850268363952637,6.684095995886547,0.07030226549558348,11184264,3697362,10
v50,25,1.0,0.034325480461120605,6.584364154446455,0.18715677949606338,11184264,3697362,25
v50,50,1.0,0.061651527881622314,6.490535594781751,0.2525580596582979,11184264,3697362,50
v50,100,1.0,0.16855502128601074,6.109634120743686,0.427886752032382,11184264,3697362,100
v50,200,1.0,0.24897921085357666,5.806633726976226,0.521239060908956,11184264,3697362,200
v50,400,1.0,0.3428201675415039,5.4317598408685255,0.6088019767264753,11184264,3697362,400
v250,5,1.0,0.000931859016418457,13.536722605073901,0.034700622378124435,11184264,3697362,5
v250,10,1.0,0.008475065231323242,13.48552351532642,0.09346496090442949,11184264,3697362,10
v250,25,1.0,0.21115005016326904,12.028547027946294,0.4604027212880179,11184264,3697362,25
v250,50,1.0,0.41486555337905884,10.359619505975774,0.6446032125427994,11184264,3697362,50
v250,100,1.0,0.4843018651008606,9.725541173788063,0.6962022288597893,11184264,3697362,100
v250,200,1.0,0.618768572807312,8.362002635357781,0.7873743220513555,11184264,3697362,200
v250,400,1.0,0.6915680170059204,7.52134769051019,0.8321344996496848,11184264,3697362,400
v500,5,1.0,-0.0007894039154052734,8.612031336463795,0.01749445504098243,11184264,3697362,5
v500,10,1.0,0.024574637413024902,8.50219967373104,0.1583673540553421,11184264,3697362,10
v500,25,1.0,0.26989156007766724,7.355766691473076,0.5198664168523641,11184264,3697362,25
v500,50,1.0,0.365017294883728,6.859859371245283,0.6043008716524513,11184264,3697362,50
v500,100,1.0,0.45983392000198364,6.327001250530835,0.6781837435522025,11184264,3697362,100
v500,200,1.0,0.6048101782798767,5.411742667058182,0.7780059514719121,11184264,3697362,200
v500,400,1.0,0.6739997863769531,4.915222516227846,0.8211437134871346,11184264,3697362,400
v600,5,1.0,-0.0004889965057373047,7.250996225246909,0.026344931786749994,11184264,3697362,5
v600,10,1.0,0.03458535671234131,7.122762496036995,0.18876759756252587,11184264,3697362,10
v600,25,1.0,0.29817426204681396,6.073040480575684,0.5464615125314868,11184264,3697362,25
v600,50,1.0,0.3840416669845581,5.689409543259101,0.6200405747771767,11184264,3697362,50
v600,100,1.0,0.4813804030418396,5.220546755748393,0.6940219027997347,11184264,3697362,100
v600,200,1.0,0.6074820756912231,4.5417296145681885,0.7796998970564311,11184264,3697362,200
v600,400,1.0,0.6768723726272583,4.120772073494171,0.8227969517662419,11184264,3697362,400
v700,5,1.0,0.00138092041015625,6.329460398739294,0.04490289596203453,11184264,3697362,5
v700,10,1.0,0.05410802364349365,6.160096801393552,0.23557071197412974,11184264,3697362,10
v700,25,1.0,0.32848846912384033,5.190312186316991,0.5733591320039223,11184264,3697362,25
v700,50,1.0,0.4138000011444092,4.849418424364455,0.6436043999345502,11184264,3697362,50
v700,100,1.0,0.491659939289093,4.515895954173534,0.7018363122199027,11184264,3697362,100
v700,200,1.0,0.6089154481887817,3.9609746987667087,0.7807662010529586,11184264,3697362,200
v700,400,1.0,0.6782522201538086,3.5927293737954322,0.8236894081062015,11184264,3697362,400
v850,5,1.0,0.006273031234741211,5.670755743560553,0.08991577241679743,11184264,3697362,5
v850,10,1.0,0.11505073308944702,5.351389994938669,0.34499928357910903,11184264,3697362,10
v850,25,1.0,0.4026842713356018,4.3965234199732235,0.6350130127103353,11184264,3697362,25
v850,50,1.0,0.4547235369682312,4.200643154128329,0.6750847218996804,11184264,3697362,50
v850,100,1.0,0.5102641582489014,3.9809649067462423,0.7155249561239581,11184264,3697362,100
v850,200,1.0,0.6062586307525635,3.569545805432405,0.7792267382067728,11184264,3697362,200
v850,400,1.0,0.6716494560241699,3.2596898512950188,0.8199401290997002,11184264,3697362,400
v1000,5,1.0,0.018297016620635986,4.932777367443487,0.1449477959041048,11184264,3697362,5
v1000,10,1.0,0.29061126708984375,4.193180842656758,0.5421573630968421,11184264,3697362,10
v1000,25,1.0,0.49484366178512573,3.5384607203428415,0.7039714749641579,11184264,3697362,25
v1000,50,1.0,0.5281519889831543,3.419814233921376,0.7273481406906737,11184264,3697362,50
v1000,100,1.0,0.5643981695175171,3.2858392502140257,0.7519658720649172,11184264,3697362,100
v1000,200,1.0,0.6494487524032593,2.9476587477005385,0.8061808277857494,11184264,3697362,200
v1000,400,1.0,0.7121248245239258,2.6711824646169986,0.8442090501195554,11184264,3697362,400
z50,5,1.0,0.18856215476989746,3557.635591231907,0.444786686414271,11184264,3697362,5
z50,10,1.0,0.2168918251991272,3494.980114392641,0.47590883736370077,11184264,3697362,10
z50,25,1.0,0.3154233694076538,3267.7201532567015,0.5662759548108083,11184264,3697362,25
z50,50,1.0,0.5848540663719177,2544.6861299578777,0.7664057829324848,11184264,3697362,50
z50,100,1.0,0.6793289184570312,2236.4734516644726,0.8254969146294081,11184264,3697362,100
z50,200,1.0,0.7371491193771362,2024.8299311300195,0.8594799010486016,11184264,3697362,200
z50,400,1.0,0.7644990086555481,1916.5942450085777,0.8752483750302116,11184264,3697362,400
z250,5,1.0,0.501333475112915,3324.703445421862,0.7092273852676104,11184264,3697362,5
z250,10,1.0,0.5226709842681885,3252.795259465311,0.7238313986615409,11184264,3697362,10
z250,25,1.0,0.6383059024810791,2831.5126699345706,0.7990487860493124,11184264,3697362,25
z250,50,1.0,0.7846060991287231,2185.0659028962946,0.8862866566376773,11184264,3697362,50
z250,100,1.0,0.812498152256012,2038.687016194492,0.901685806087657,11184264,3697362,100
z250,200,1.0,0.8435182571411133,1862.4285221183657,0.9185540813121394,11184264,3697362,200
z250,400,1.0,0.864992082118988,1729.9257209487348,0.9300681704004251,11184264,3697362,400
z500,5,1.0,0.4653046727180481,2058.4905877851374,0.6832911540685327,11184264,3697362,5
z500,10,1.0,0.5122863054275513,1965.97577553743,0.7163383591663854,11184264,3697362,10
z500,25,1.0,0.6316099166870117,1708.6364446540406,0.7947433571998617,11184264,3697362,25
z500,50,1.0,0.7780553102493286,1326.2277330835757,0.8828785027164261,11184264,3697362,50
z500,100,1.0,0.8088297843933105,1230.8519407304846,0.8998147442777149,11184264,3697362,100
z500,200,1.0,0.8410894870758057,1122.2043597313282,0.9172971272850405,11184264,3697362,200
z500,400,1.0,0.8625913262367249,1043.5248559569627,0.9287774406022835,11184264,3697362,400
z600,5,1.0,0.43830060958862305,1702.1520202379104,0.6632704184947562,11184264,3697362,5
z600,10,1.0,0.5007127523422241,1604.8026358403079,0.7081742510108291,11184264,3697362,10
z600,25,1.0,0.6198580861091614,1400.2940762568412,0.7873106743738554,11184264,3697362,25
z600,50,1.0,0.770703911781311,1087.5387349423468,0.8787943712177537,11184264,3697362,50
z600,100,1.0,0.8036996722221375,1006.2522981340217,0.8970090620786427,11184264,3697362,100
z600,200,1.0,0.8376271724700928,915.1725930118319,0.9154186294770793,11184264,3697362,200
z600,400,1.0,0.8593952655792236,851.6209177210245,0.9270514378212158,11184264,3697362,400
z700,5,1.0,0.39782625436782837,1410.979712823682,0.6319779143580235,11184264,3697362,5
z700,10,1.0,0.48144060373306274,1309.3600536139782,0.6943408821598334,11184264,3697362,10
z700,25,1.0,0.6020638942718506,1147.008227956539,0.7759395425686632,11184264,3697362,25
z700,50,1.0,0.7573099732398987,895.7479765536733,0.8712182422690713,11184264,3697362,50
z700,100,1.0,0.7946287393569946,824.0047026564836,0.8919742038743326,11184264,3697362,100
z700,200,1.0,0.8310390710830688,747.3998260636672,0.911804054284027,11184264,3697362,200
z700,400,1.0,0.8535240292549133,695.8939170232774,0.9238733639061443,11184264,3697362,400
z850,5,1.0,0.29902559518814087,1074.0086708216093,0.547908200841551,11184264,3697362,5
z850,10,1.0,0.4399261474609375,960.0179685818385,0.663636968926106,11184264,3697362,10
z850,25,1.0,0.5573692321777344,853.4488854055643,0.7467273207396666,11184264,3697362,25
z850,50,1.0,0.7165720462799072,682.932921303403,0.8477317588987715,11184264,3697362,50
z850,100,1.0,0.7677520513534546,618.2052147143374,0.8768568205903482,11184264,3697362,100
z850,200,1.0,0.8113380074501038,557.1844117973869,0.9009194683281989,11184264,3697362,200
z850,400,1.0,0.8357528448104858,519.8830397310534,0.914227103788869,11184264,3697362,400
z1000,5,1.0,0.2324935793876648,862.0559364101613,0.48465730162922305,11184264,3697362,5
z1000,10,1.0,0.423888623714447,746.874571129584,0.6535164795345654,11184264,3697362,10
z1000,25,1.0,0.5248819589614868,678.2584085361567,0.7253522671119956,11184264,3697362,25
z1000,50,1.0,0.663822591304779,570.5302906069055,0.8161106663438898,11184264,3697362,50
z1000,100,1.0,0.7350996732711792,506.4489886701325,0.8579655921362339,11184264,3697362,100
z1000,200,1.0,0.7886481285095215,452.37382564091837,0.8882179219267676,11184264,3697362,200
z1000,400,1.0,0.8138390183448792,424.5597167949404,0.9022774715984836,11184264,3697362,400
q50,5,1.0,-0.06624817848205566,2.7111017750054777e-07,0.2306442199701828,11184264,3697362,5
q50,10,1.0,-0.034970760345458984,2.6710419319594357e-07,0.2952515502859149,11184264,3697362,10
q50,25,1.0,0.004083514213562012,2.620161978526288e-07,0.345723851326397,11184264,3697362,25
q50,50,1.0,0.07456058263778687,2.5257517427455506e-07,0.4366831814091042,11184264,3697362,50
q50,100,1.0,0.13694077730178833,2.4391413127810963e-07,0.4978006412722014,11184264,3697362,100
q50,200,1.0,0.23233288526535034,2.3003987939108022e-07,0.5747920376919523,11184264,3697362,200
q50,400,1.0,0.2914564609527588,2.210038952680981e-07,0.6243299731070353,11184264,3697362,400
q250,5,1.0,0.33196723461151123,6.737004327581025e-05,0.576727950771521,11184264,3697362,5
q250,10,1.0,0.3433660864830017,6.679279246670537e-05,0.587110034890983,11184264,3697362,10
q250,25,1.0,0.4680016040802002,6.012057183046059e-05,0.68467763906182,11184264,3697362,25
q250,50,1.0,0.5488206148147583,5.536592364432099e-05,0.7410605543881726,11184264,3697362,50
q250,100,1.0,0.6545631885528564,4.8445366346181094e-05,0.8093321672635697,11184264,3697362,100
q250,200,1.0,0.7239124774932861,4.331031152526106e-05,0.8512396514170512,11184264,3697362,200
q250,400,1.0,0.75837242603302,4.051736293824231e-05,0.8714412154630556,11184264,3697362,400
q500,5,1.0,0.3879091143608093,0.0009649845240574548,0.6240516273005778,11184264,3697362,5
q500,10,1.0,0.43929749727249146,0.0009235887708613648,0.6641745697422057,11184264,3697362,10
q500,25,1.0,0.5955395698547363,0.0007844231407002308,0.772484928859829,11184264,3697362,25
q500,50,1.0,0.6869198083877563,0.0006901447182290867,0.8290604722773721,11184264,3697362,50
q500,100,1.0,0.7453919649124146,0.0006223697010931329,0.8637391255046644,11184264,3697362,100
q500,200,1.0,0.7853257656097412,0.0005714817746855637,0.8866106038272646,11184264,3697362,200
q500,400,1.0,0.813611626625061,0.0005325026791566563,0.9025967585962996,11184264,3697362,400
q600,5,1.0,0.4588592052459717,0.001449003934488159,0.6779580610762259,11184264,3697362,5
q600,10,1.0,0.5374050140380859,0.0013397225571246086,0.7338409488326499,11184264,3697362,10
q600,25,1.0,0.6200625896453857,0.001214144735517439,0.7879299474111532,11184264,3697362,25
q600,50,1.0,0.7066665887832642,0.0010668299277306924,0.8407327997783638,11184264,3697362,50
q600,100,1.0,0.7672924995422363,0.000950210060924693,0.8759904756267182,11184264,3697362,100
q600,200,1.0,0.8080355525016785,0.0008630279006400956,0.898972832820259,11184264,3697362,200
q600,400,1.0,0.8336478471755981,0.0008033941300437373,0.9131738066530859,11184264,3697362,400
q700,5,1.0,0.5322127342224121,0.0019075245776087974,0.7301264373043285,11184264,3697362,5
q700,10,1.0,0.6005880832672119,0.001762611060002157,0.7757082373413811,11184264,3697362,10
q700,25,1.0,0.6691179871559143,0.0016042888383203128,0.8184484504043793,11184264,3697362,25
q700,50,1.0,0.7502681016921997,0.001393743951927753,0.8662345475618028,11184264,3697362,50
q700,100,1.0,0.7755194902420044,0.001321403007697086,0.8807220547204911,11184264,3697362,100
q700,200,1.0,0.8201459050178528,0.0011827858002008175,0.9056547551273066,11184264,3697362,200
q700,400,1.0,0.8486225605010986,0.0010851168968790295,0.921313406623413,11184264,3697362,400
q850,5,1.0,0.5316421985626221,0.002861634983720475,0.7305551148247822,11184264,3697362,5
q850,10,1.0,0.5637991428375244,0.0027616496507333554,0.752854695936635,11184264,3697362,10
q850,25,1.0,0.6751059889793396,0.0023833959224745078,0.8224151498114128,11184264,3697362,25
q850,50,1.0,0.7631469964981079,0.002035001555137767,0.8737661881669253,11184264,3697362,50
