source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,0.2,78.0,2021-02-16 00:00:00,154.76106538468431,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,84.0,2021-02-16 06:00:00,154.4330932195749,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,90.0,2021-02-16 12:00:00,153.95531106337,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,96.0,2021-02-16 18:00:00,154.25705398702792,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,102.0,2021-02-17 00:00:00,154.2411321097895,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,108.0,2021-02-17 06:00:00,155.9447983321498,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,114.0,2021-02-17 12:00:00,157.02192018054086,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,120.0,2021-02-17 18:00:00,157.60414434350736,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.5,6.0,2021-02-13 00:00:00,156.92144829169297,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,12.0,2021-02-13 06:00:00,156.20037259025102,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,18.0,2021-02-13 12:00:00,154.34526749938985,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,24.0,2021-02-13 18:00:00,152.4280381479428,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,30.0,2021-02-14 00:00:00,151.17625644084336,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,36.0,2021-02-14 06:00:00,151.8776137043847,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,42.0,2021-02-14 12:00:00,152.19401352421187,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,48.0,2021-02-14 18:00:00,153.2632384486946,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,54.0,2021-02-15 00:00:00,154.62144416963625,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,60.0,2021-02-15 06:00:00,156.4077779438552,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,66.0,2021-02-15 12:00:00,156.7916517389164,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,72.0,2021-02-15 18:00:00,156.85959500426742,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,78.0,2021-02-16 00:00:00,155.88347015585026,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,84.0,2021-02-16 06:00:00,155.50015021971907,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,90.0,2021-02-16 12:00:00,154.98057776933726,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,96.0,2021-02-16 18:00:00,155.2497134273663,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,102.0,2021-02-17 00:00:00,155.20508643071489,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,108.0,2021-02-17 06:00:00,156.86156982259212,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,114.0,2021-02-17 12:00:00,158.03100666056173,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,0.5,120.0,2021-02-17 18:00:00,158.6814722798733,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc
GraphCast,1.0,6.0,2021-02-13 00:00:00,157.37707950302254,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc
GraphCast,1.0,12.0,2021-02-13 06:00:00,156.90100086261484,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc
GraphCast,1.0,18.0,2021-02-13 12:00:00,155.2321735937229,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc
GraphCast,1.0,24.0,2021-02-13 18:00:00,153.44005491501125,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc
GraphCast,1.0,30.0,2021-02-14 00:00:00,152.32846342906555,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc
