target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
u850,5,1.0,0.23056286573410034,7.248736304283196,0.4802944299254985,13795974,14891868,5
u850,10,1.0,0.438626766204834,6.191581227811353,0.6624481306617428,13795974,14891868,10
u850,25,1.0,0.6610287427902222,4.8112414807595805,0.8130804922271241,13795974,14891868,25
u850,50,1.0,0.6935645341873169,4.5745172965126875,0.8328253774314922,13795974,14891868,50
u850,100,1.0,0.7413486242294312,4.202746292694437,0.8610475848709045,13795974,14891868,100
u850,200,1.0,0.7944413423538208,3.7466540350197644,0.8913364589421835,13795974,14891868,200
u850,400,1.0,0.8260818123817444,3.446261528253212,0.9089065150487126,13795974,14891868,400
u1000,5,1.0,0.2385718822479248,5.365585421203491,0.48858352128080407,13795974,14891868,5
u1000,10,1.0,0.47688359022140503,4.447355260268192,0.6906692808962543,13795974,14891868,10
u1000,25,1.0,0.6322467923164368,3.7289014469789543,0.7951749916599753,13795974,14891868,25
u1000,50,1.0,0.6645120978355408,3.5615668162116982,0.8152004135692171,13795974,14891868,50
u1000,100,1.0,0.7143986225128174,3.286115109536268,0.8452414608346013,13795974,14891868,100
u1000,200,1.0,0.776748538017273,2.905358947008427,0.8813437258083394,13795974,14891868,200
u1000,400,1.0,0.8077061176300049,2.6964068416416422,0.8987309782725278,13795974,14891868,400
v50,5,1.0,0.0018458366394042969,5.507864790864366,0.043229409120597445,13795974,14891868,5
v50,10,1.0,0.005079030990600586,5.498936983897966,0.07143822273954126,13795974,14891868,10
v50,25,1.0,0.03804510831832886,5.407067562312597,0.19508302212171358,13795974,14891868,25
v50,50,1.0,0.06217217445373535,5.338828871530012,0.2494208784942214,13795974,14891868,50
v50,100,1.0,0.16016250848770142,5.052217944472236,0.40170624660497356,13795974,14891868,100
v50,200,1.0,0.23456412553787231,4.823239913664933,0.48691156502083255,13795974,14891868,200
v50,400,1.0,0.3068060278892517,4.5899910631279806,0.556616265053986,13795974,14891868,400
v250,5,1.0,0.0034013986587524414,13.050041134356567,0.05832620082135066,13795974,14891868,5
v250,10,1.0,0.007221519947052002,13.025005646629355,0.08499340017013099,13795974,14891868,10
v250,25,1.0,0.21153539419174194,11.607611007471833,0.459988667222806,13795974,14891868,25
v250,50,1.0,0.41282325983047485,10.016964827261097,0.6425324314856492,13795974,14891868,50
v250,100,1.0,0.4855138659477234,9.376452931032667,0.6968153123230172,13795974,14891868,100
v250,200,1.0,0.6152985095977783,8.107998946202516,0.7844252533559564,13795974,14891868,200
v250,400,1.0,0.685748815536499,7.328079711513841,0.82810586866365,13795974,14891868,400
v500,5,1.0,0.007285177707672119,8.44651166252298,0.08552552105666482,13795974,14891868,5
v500,10,1.0,0.04235339164733887,8.295981608709772,0.20592642269051664,13795974,14891868,10
v500,25,1.0,0.2850185036659241,7.1682401600523615,0.5338806911040535,13795974,14891868,25
v500,50,1.0,0.3764767050743103,6.694089121202201,0.6135812820150836,13795974,14891868,50
v500,100,1.0,0.4771023988723755,6.130183614995921,0.6907337002480498,13795974,14891868,100
v500,200,1.0,0.6106505393981934,5.289747275533461,0.7814445731120281,13795974,14891868,200
v500,400,1.0,0.6745190620422363,4.836463418936399,0.8212972085169421,13795974,14891868,400
v600,5,1.0,0.008563399314880371,7.184005816756784,0.09274207086295244,13795974,14891868,5
v600,10,1.0,0.06643527746200562,6.971181949791557,0.2578961461527585,13795974,14891868,10
v600,25,1.0,0.31545335054397583,5.969468957231259,0.561669414642142,13795974,14891868,25
v600,50,1.0,0.40123361349105835,5.582939228933086,0.6334318759249502,13795974,14891868,50
v600,100,1.0,0.5045456886291504,5.078506408453006,0.7103305530125308,13795974,14891868,100
v600,200,1.0,0.6174932718276978,4.462248227152167,0.7858077451479999,13795974,14891868,200
v600,400,1.0,0.6806676387786865,4.077140133786454,0.825028593515605,13795974,14891868,400
v700,5,1.0,0.00986480712890625,6.311772370656627,0.09959852062344522,13795974,14891868,5
v700,10,1.0,0.10357064008712769,6.0056789861121045,0.3219476077885773,13795974,14891868,10
v700,25,1.0,0.342563271522522,5.14317226201379,0.5853043621369334,13795974,14891868,25
v700,50,1.0,0.42902714014053345,4.79304853775531,0.6550045438766267,13795974,14891868,50
