pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_209,209,1453,vertical_velocity_lev13,0.07361487948373524,90,1453,vertical_velocity_lev10,0.06384005371438876,23,1453,vertical_velocity_lev12,0.0617698716674018,3,1453
PC_210,210,1453,vertical_velocity_lev12,0.07116761106513159,198,1453,v_component_of_wind_lev32,0.04897447723455184,53,1453,vertical_velocity_lev28,0.048909020853640364,9,1453
PC_211,211,1453,v_component_of_wind_lev18,0.07068547961290564,72,1453,v_component_of_wind_lev15,0.06878866666587781,59,1453,v_component_of_wind_lev16,0.06860609711192713,26,1453
PC_212,212,1453,v_component_of_wind_lev10,0.08252962675033405,301,1453,vertical_velocity_lev34,0.07066340293255824,21,1453,vertical_velocity_lev33,0.06960359159331443,13,1453
PC_213,213,1453,vertical_velocity_lev11,0.05457573633189765,39,1453,longitude_sin,0.05032504416244821,114,1453,vertical_velocity_lev09,0.0486977820288911,38,1453
PC_214,214,1453,vertical_velocity_lev35,0.05942884351496046,34,1453,vertical_velocity_lev34,0.05932647765903168,25,1453,v_component_of_wind_lev10,0.05931639333336671,99,1453
PC_215,215,1453,v_component_of_wind_lev09,0.08041829081218246,411,1453,geopotential_lev01,0.059468479450604475,2,1453,geopotential_lev02,0.05945411924981363,12,1453
PC_216,216,1453,vertical_velocity_lev27,0.09192225269983534,142,1453,vertical_velocity_lev28,0.09130308128565201,74,1453,vertical_velocity_lev26,0.09046493097370605,129,1453
PC_217,217,1453,vertical_velocity_lev10,0.057736843071252375,152,1453,vertical_velocity_lev11,0.051723687723984065,44,1453,temperature_lev17,0.04324176014837957,13,1453
PC_218,218,1453,vertical_velocity_lev12,0.07556816267589311,375,1453,vertical_velocity_lev13,0.06660280219780465,91,1453,vertical_velocity_lev11,0.04760877466083957,1,1453
PC_219,219,1453,vertical_velocity_lev10,0.06027075560751941,115,1453,temperature_lev10,0.05242781870037265,36,1453,specific_humidity_lev11,0.05188985064162082,179,1453
